"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/74bccf64fd1baefef8f8e6ab28dda1b8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=6ea4e3e1&x-expires=1763038800&x-signature=P%2BMxyseS7FxA548oyxCL7IhCoGA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","jfyjjd","🛸 BREAKING UFO NEWS: 🚨 Brazil Just Dropped 893 UFO Files 🚨 In a bold move for global UFO transparency, Brazil’s National Archives released nearly 900 official case file…spanning sightings from 1952 to 2023. From radar-tracked fleets to beam weapon encounters, the evidence is shocking. Everything from Colaras UFO Incident in 1977, to the 1986 “Night of the UFOs,” when 21 unknown craft were chased by Air Force jets over southern Brazil. 👽 This might be the biggest UFO document dump yet.  Link: https://sian.an.gov.br/sianex/consulta/login.asp  #ufo #uap #aliens #news #breaking   ","70200","8900","1100000","1340","87","original sound","jfyjjd","true","2025-10-17T10:13:09.000Z","https://www.tiktok.com/@jfyjjd/video/7562131616898845965"
"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=3f172bac&x-expires=1763038800&x-signature=QYvLriaJklp2Yf%2B0%2BORSIAN2JfA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","ibeengoingthruit","what is this.. the sky is completely clear rn and i don’t think it’s a plane either? #fyp #aliens #conspiracy #ufosighting #paranormal ","2441","90","20600","119","21","Angelpoise","Recitals","false","2025-11-04T23:33:05.000Z","https://www.tiktok.com/@ibeengoingthruit/video/7569017218659306765"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/71b5176ea661e1f2ec4bdaf4c2595ed1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=4696920f&x-expires=1763038800&x-signature=xtzMKKx%2BvS79uAXrVx%2FM%2Boq2Y4k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","user3984946815130","“CCTV caught something unbelievable in this backyard at 3AM 👽📹”

Real home CCTV footage from a quiet suburban house…  
A toddler wandering in the yard at night — then something strange appears.  
Two figures with glowing eyes approach, and in a flash… they vanish.  
The camera kept recording like nothing happened.  
Real or fake? You decide. 👀

#CCTVfootage #CaughtOnCamera #AlienEncounter #3AMFootage #RealOrFake #aivideo #Sora2 #Higgsfield #realityai #realisticai #viralvideo #aishorts #aiart #nightvision #mysteryvideo #trendingvideo #creepyvibes #weirdcore #aiworld #aliensighting #reallifelike #caughtoncctv #aianimation","2970","303","237500","111","11","오리지널 사운드 - ThinkPotato","ThinkPotato","true","2025-10-17T07:42:14.000Z","https://www.tiktok.com/@user3984946815130/video/7562092772950396180"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e1dfbb9d2c6789ad8bb8dd48099c253a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=90def214&x-expires=1763038800&x-signature=qjefLLrdIcw3rFnuvkHCvFRkdFg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","xiguabb3","More of Them will allow you to see them in the days to come!! This is so Exciting!! #aliensarereal #aliensighting #uap #ufo #wearenotalone   ","1631","368","125100","162","26","original sound","xiguabb","true","2025-08-25T10:12:46.000Z","https://www.tiktok.com/@xiguabb3/video/7542463869822717215"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4ecb3a874a6a36e34f32683dc936beb0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=18c40961&x-expires=1763038800&x-signature=xGMcGQsLjO9daJqzi4DXK2fP9PM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","lil_cracka_","Best UFO sighting yet #ufo #ufosighting #greatawakenning #alien #aliensighting #presidentrobot ","992600","23700","13500000","15800","60","",,"false","2023-12-29T02:14:53.000Z","https://www.tiktok.com/@lil_cracka_/video/7317834259895635246"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7179721972849803269~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=8ce8110b&x-expires=1763038800&x-signature=vn2Zy2K8zH2two%2BL2zEPBooc7r0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","iamjaakvanloon","Aliens spotted in Kimberley 😳😋 #viral #fyp #funny #comedy #komedie #mzanzicomedy #ufo ","4847","1935","229100","515","35","original sound","Jaak van Loon","true","2025-07-13T14:12:35.000Z","https://www.tiktok.com/@iamjaakvanloon/video/7526569193513323782"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7320187532631605291~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=36ad762f&x-expires=1763038800&x-signature=wSKw%2Bxdo%2B74ek22cHtd5tcL%2Bfqs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","1313_mockingbirdlane","👽#alien #aliens #aliensighting #wtf #ufo #ufoキャッチャー #ufosky #ufos #greys #alienabduction #strange #👽 #alienabductions #creepy #creeper #alienabductionstories #creepyfacts #creepytok #creepytiktok #weird #area51 #creepyvideos #creepystories #scary #scarystories #unknown #omg #scarystory #terrifying #whatisthat #terrifyingposts #horror #horrortok #unaware ","4069","185","356900","135","17","Creepy, scary, horror, synth, tension","Sound Production Gin","false","2023-01-18T00:15:07.000Z","https://www.tiktok.com/@1313_mockingbirdlane/video/7189779094207401262"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/adf8cdc48a56a4b4d466a151ffb3a5c8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d07c7329&x-expires=1763038800&x-signature=aFex46QUmqp1eOdRZtrOibV9TOA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","ipablosantos","Spotted this on my back from Florida!!! 🫨 🛸 #ufo #ufosighting #fyp #aliens #sighting ","2865","324","88100","118","10","original sound","Pablo","true","2025-09-19T00:32:40.000Z","https://www.tiktok.com/@ipablosantos/video/7551591657511062815"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4076572d6bc21cf5b4062dc283085b8f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fb5e2d06&x-expires=1763038800&x-signature=gicQJRw5LHS5joHbKRZaAyKlOsA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","hallucinationhippies","👽 Sometimes, security cameras capture things that are easily explainable… but sometimes, they don’t. This might be one of those times.

On February 6, 2025, a security camera on a farm in El Salvador recorded a shadowy figure moving across the screen. Almost instantly, the dogs react—like they sensed something we can’t see.

Skeptics might call it a trick of the light… but what if it’s not? Last year, whistleblowers like David Grusch and lawmakers like Anna Paulina Luna publicly discussed interdimensional beings / entities. Could this be evidence of something beyond our reality?

What do you think? A glitch, a shadow, or something else? 

#ufo #ufos #aliens #uap #hallucinationhippies #interdimensional #caughtoncamera #spirit #creepy #luna #elsalvador ","3937","164","137200","284","69","Spooky, quiet, scary atmosphere piano songs","Skittlegirl Sound","false","2025-02-26T00:21:37.000Z","https://www.tiktok.com/@hallucinationhippies/video/7475516239821983018"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/71b5176ea661e1f2ec4bdaf4c2595ed1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=4696920f&x-expires=1763038800&x-signature=xtzMKKx%2BvS79uAXrVx%2FM%2Boq2Y4k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my","user3984946815130","“Something Was Caught in the Mountains… But What Was It?”

#UFOsighting #alienencounter #foundfootage #caughtoncamera #unexplained #realisticvideo #Sora2 #AIvideo #hyperrealism #UFOcrash #mysteryvideo #scifi #visualrealism #shortfilm #paranormalmoment","68","2","1204","1","11","오리지널 사운드 - ThinkPotato","ThinkPotato","true","2025-11-11T07:06:35.000Z","https://www.tiktok.com/@user3984946815130/video/7571360724975422727"
